Model,rank_rmse,rank_spearman,rank_davgp,rank_auroc,regression_rank
Autoreg Only,4.8,5.0,4.916666666666667,4.666666666666667,4.9
Barlow Closed (Text),3.4,3.5,2.9166666666666665,3.0833333333333335,3.45
CLAMP,3.2,3.0,2.1666666666666665,2.3333333333333335,3.1
Grande Closed (Text),2.2,1.75,3.4166666666666665,3.3333333333333335,1.975
coati2,1.4,1.75,1.5833333333333333,1.5833333333333333,1.575
