Dataset,Seed,Analysis Type,Model,AUROC Score,AUROC std,RMSE,Spearman,avgp,avgp_std,davgp,davgp_std
bace_classification,2,Classification,Grande Closed (Text),0.7100492610837439,0.0162850039126269,,,0.6183105064247921,0.0233982115368853,0.1553475434618291,0.016018080585381
bace_classification,2,Classification,CLAMP,0.6733004926108375,0.016334853426853,,,0.5861088527551943,0.0234694422528503,0.1231458897922313,0.0156049821981068
bace_classification,2,Classification,coati2,0.7468965517241379,0.0150243647044423,,,0.6568700492399915,0.0217529894469406,0.1939070862770285,0.0172191567191056
bace_classification,3,Classification,Barlow Closed (Text),0.7109817891686847,0.0173838777905009,,,0.6292239307727377,0.0223005721482412,0.1549835080514696,0.0164908578833255
bace_classification,3,Classification,Grande Closed (Text),0.6979815512100894,0.0163726814136545,,,0.6141295071392252,0.0213452864844686,0.139889084417957,0.0143329987158453
bace_classification,3,Classification,CLAMP,0.7166892960624851,0.0167301320733607,,,0.6339268359775311,0.0230833919067343,0.1596864132562629,0.015384459506228
bace_classification,3,Classification,coati2,0.7521101328368864,0.0158697786146994,,,0.6708304207726934,0.0222041032780235,0.1965899980514252,0.0174066346597531
bace_classification,4,Classification,Barlow Closed (Text),0.7553204895369265,0.0162690255157933,,,0.6283987258455563,0.0242569839753326,0.2076998011143735,0.0188095133370835
bace_classification,4,Classification,Grande Closed (Text),0.7037834592262588,0.0169806122059319,,,0.5755951493978376,0.023714809786774,0.1548962246666548,0.0185610636669363
bace_classification,4,Classification,CLAMP,0.7100212745454142,0.0172423800731205,,,0.5826588532579453,0.0248082916460085,0.1619599285267625,0.0171596748705615
bace_classification,4,Classification,coati2,0.7593900802799047,0.0145848871244779,,,0.6315184102162588,0.0239689403127258,0.2108194854850759,0.0175944904952768
bace_classification,5,Classification,Barlow Closed (Text),0.7531400395026011,0.0159762125341804,,,0.6637641299720679,0.0230028624759854,0.2051570340456552,0.0171670123940213
bace_classification,5,Classification,Grande Closed (Text),0.7418804072662532,0.0165255279831922,,,0.6475096037897636,0.022945392680022,0.188902507863351,0.0166047631688509
bace_classification,5,Classification,CLAMP,0.699439452527332,0.016400297249159,,,0.606226790884333,0.0233863828492043,0.1476196949579203,0.0170445160130646
bace_classification,5,Classification,coati2,0.7695565693938298,0.0146026757612556,,,0.6781419641231756,0.0229459265040852,0.219534868196763,0.0174041966417964
bace_classification,6,Classification,Barlow Closed (Text),0.7278824873277647,0.0167144780050381,,,0.6045152457085996,0.0246336742541568,0.1791519696187713,0.0184188904545482
bace_classification,6,Classification,Grande Closed (Text),0.7282858570714643,0.0170250129175897,,,0.6045379217791949,0.0252127359554022,0.1791746456893665,0.0173941718820154
bace_classification,6,Classification,CLAMP,0.6782144641964731,0.01756374028315,,,0.5520976426957258,0.0238411359098063,0.1267343666058975,0.0158537761147259
bace_classification,6,Classification,coati2,0.7545013207681872,0.0161516637828099,,,0.6348017131621366,0.0236596883982448,0.2094384370723083,0.0183554961598335
bace_classification,7,Classification,Barlow Closed (Text),0.7265870786516854,0.0162166953578478,,,0.6413011441022425,0.022051848684579,0.1704016732027716,0.0164067958277291
bace_classification,7,Classification,Grande Closed (Text),0.732808988764045,0.0158872011240911,,,0.6430306273002903,0.0213172674786906,0.1721311564008193,0.0162264827969656
bace_classification,7,Classification,CLAMP,0.6887219101123596,0.016304953523574,,,0.5964921823910588,0.0224262717308363,0.1255927114915879,0.0136736735473703
bace_classification,7,Classification,coati2,0.7483005617977527,0.0153016350452314,,,0.6658690094938262,0.0224673574658677,0.1949695385943553,0.0170982775418418
bace_classification,8,Classification,Barlow Closed (Text),0.7233238837703755,0.0162634830401087,,,0.6207864464673979,0.0246064558680864,0.1822131307474507,0.0186458617907194
bace_classification,8,Classification,Grande Closed (Text),0.7107122608079376,0.0166626400339543,,,0.6038792198898738,0.0252778498197754,0.1653059041699266,0.0168478624196447
bace_classification,8,Classification,CLAMP,0.6251523742026932,0.0180976200643956,,,0.5251341443245091,0.0223833125344078,0.0865608286045619,0.0145778249829034
bace_classification,8,Classification,coati2,0.740173635719348,0.0167592354961084,,,0.6327766763572322,0.0240150608295539,0.194203360637285,0.0177799145049172
bace_classification,9,Classification,Barlow Closed (Text),0.7271448365569505,0.0159517138719864,,,0.6122905789352289,0.0242693974384068,0.1684332473632341,0.017154373050941
bace_classification,9,Classification,Grande Closed (Text),0.7096022791539419,0.0160133851265478,,,0.5953967336604391,0.0230893347667865,0.1515394020884444,0.0169656787539998
bace_classification,9,Classification,CLAMP,0.6736582400180975,0.0173178662126438,,,0.5610105104870751,0.0217345680789986,0.1171531789150803,0.0137541257021529
bace_classification,9,Classification,coati2,0.7404387229951361,0.0158186619564669,,,0.636051733743158,0.0222108678982704,0.1921944021711633,0.0188126667291809
pgp_broccatelli,0,Classification,Barlow Closed (Text),0.8508219923788786,0.0141782473547892,,,0.8328589857304364,0.0178452984975377,0.2844189200489914,0.0175476218647662
pgp_broccatelli,0,Classification,Grande Closed (Text),0.849858464888405,0.0140197275446607,,,0.8296379167629636,0.0181530850289003,0.2811978510815186,0.0191406398074112
pgp_broccatelli,0,Classification,CLAMP,0.8660043549265106,0.0140165682994342,,,0.843056978781781,0.0180856199625964,0.294616913100336,0.0184630621717489
pgp_broccatelli,0,Classification,coati2,0.8284703320631464,0.0156453661908818,,,0.8065624237418579,0.0210191040856628,0.2581223580604129,0.0188289613510948
pgp_broccatelli,1,Classification,Barlow Closed (Text),0.8058704936157298,0.0163465283842352,,,0.7661170709660016,0.0218097608405528,0.2308132942829145,0.0182730798384363
pgp_broccatelli,1,Classification,Grande Closed (Text),0.83910880357259,0.0151597536701824,,,0.8012539572725738,0.0201718645215097,0.2659501805894867,0.0170208930736016
pgp_broccatelli,1,Classification,CLAMP,0.8275379912853086,0.0154227296663876,,,0.7929560038720183,0.0212180528353517,0.2576522271889312,0.018121345859644
pgp_broccatelli,1,Classification,coati2,0.8068026620997637,0.0164283912459034,,,0.7689965613081502,0.0209073981805734,0.2336927846250631,0.0178958660048673
pgp_broccatelli,2,Classification,Barlow Closed (Text),0.8026324320819556,0.0160871408890161,,,0.7709776493551227,0.0217129362242849,0.2488101616703936,0.0189442881999533
pgp_broccatelli,2,Classification,Grande Closed (Text),0.8037671010827985,0.0155031413582638,,,0.7698065679890349,0.0212188618216302,0.2476390803043058,0.0178919586820108
pgp_broccatelli,2,Classification,CLAMP,0.7854827206120729,0.0161695038670227,,,0.756018217306441,0.0231150594174666,0.2338507296217119,0.0203720305709649
pgp_broccatelli,2,Classification,coati2,0.7759839201193024,0.0163713472036389,,,0.7338717122881645,0.0227448781925108,0.2117042246034354,0.0193513448574327
pgp_broccatelli,3,Classification,Barlow Closed (Text),0.8143318965517242,0.0161084798573984,,,0.7838276338210235,0.0215297031859503,0.2592374698865972,0.0182133484840563
pgp_broccatelli,3,Classification,Grande Closed (Text),0.8535560344827586,0.0141988021268591,,,0.8206851861904245,0.0197491947379602,0.2960950222559982,0.0185830741395457
pgp_broccatelli,3,Classification,CLAMP,0.8552262931034484,0.0141029512345794,,,0.8151443653904897,0.0194536796781727,0.2905542014560635,0.0183736667587337
pgp_broccatelli,3,Classification,coati2,0.7932112068965517,0.0158372615413112,,,0.7609564326443335,0.0213688135255374,0.2363662687099073,0.0193360361565894
pgp_broccatelli,4,Classification,Barlow Closed (Text),0.8283250027436075,0.0151219131200529,,,0.7711190140432309,0.0218549372945493,0.2963556071031678,0.0194792059119123
pgp_broccatelli,4,Classification,Grande Closed (Text),0.8453503337224267,0.0143577270228915,,,0.7768828869722324,0.021007632093168,0.3021194800321693,0.0197935614342439
pgp_broccatelli,4,Classification,CLAMP,0.8356728821845101,0.0138351659904524,,,0.7844749986959383,0.0204718338207823,0.3097115917558752,0.0191649903566449
pgp_broccatelli,4,Classification,coati2,0.8227978809374159,0.0155908748167895,,,0.7593572349341762,0.0238016919254828,0.2845938279941131,0.0199251756544561
pgp_broccatelli,5,Classification,Barlow Closed (Text),0.802324689274206,0.0157527322166555,,,0.7879127630409424,0.0211512677909886,0.2246943722363447,0.01754163621715
pgp_broccatelli,5,Classification,Grande Closed (Text),0.7926960257787325,0.0167543761003365,,,0.7753854293001132,0.0216633822572581,0.2121670384955155,0.0167004730542867
pgp_broccatelli,5,Classification,CLAMP,0.7943839189811264,0.0173226545300394,,,0.778722556653065,0.0211206822150505,0.2155041658484673,0.0174049768287572
pgp_broccatelli,5,Classification,coati2,0.7772748197023169,0.0173043752519993,,,0.7619413853174146,0.0216423438349136,0.1987229945128169,0.0170541235906041
pgp_broccatelli,6,Classification,Barlow Closed (Text),0.8022427615450871,0.0163707916257964,,,0.7912584864591318,0.0202438179196794,0.2149038066561761,0.0168324582411837
pgp_broccatelli,6,Classification,Grande Closed (Text),0.8062346783277017,0.0165558923762882,,,0.7968650305815057,0.0202454691008258,0.22051035077855,0.0159752173627384
pgp_broccatelli,6,Classification,CLAMP,0.7994600145762936,0.0164121603735302,,,0.7961986262559104,0.0191566622251597,0.2198439464529548,0.0171226358953382
pgp_broccatelli,6,Classification,coati2,0.814384151593454,0.0157290918874426,,,0.8044480278632663,0.0198037087615469,0.2280933480603106,0.0178919313067855
pgp_broccatelli,7,Classification,Barlow Closed (Text),0.8360484544695072,0.0155808275330086,,,0.8161664266387363,0.0179766112731832,0.2536664266387363,0.0181465000116294
pgp_broccatelli,7,Classification,Grande Closed (Text),0.8395989974937343,0.0141611070055623,,,0.8179439827639274,0.0205292391946151,0.2554439827639274,0.0180549513124868
pgp_broccatelli,7,Classification,CLAMP,0.8398078529657477,0.0153787109643886,,,0.8205447772333738,0.0189055927787364,0.2580447772333738,0.0186279908944906
pgp_broccatelli,7,Classification,coati2,0.8533834586466166,0.0138577380584328,,,0.8326044891640867,0.0190428057164624,0.2701044891640867,0.0175128785835819
pgp_broccatelli,8,Classification,Barlow Closed (Text),0.7799930876571477,0.016686029331263,,,0.7118613951406147,0.0249087709053793,0.2307448105757543,0.0197554051323217
pgp_broccatelli,8,Classification,Grande Closed (Text),0.8000658832678101,0.0160129521487607,,,0.7441303901226246,0.0215959105879131,0.2630138055577641,0.0198801527226118
pgp_broccatelli,8,Classification,CLAMP,0.8093759450468743,0.015813185608975,,,0.7379646597958944,0.0251029598859524,0.256848075231034,0.0195177038554965
pgp_broccatelli,8,Classification,coati2,0.7990128310364193,0.0159603271013002,,,0.7287123405035896,0.0237716835286221,0.2475957559387291,0.0199425908857893
pgp_broccatelli,9,Classification,Barlow Closed (Text),0.7921276825191416,0.0167714900561859,,,0.765988448382967,0.0220616319315402,0.2258902487102991,0.017857472509948
pgp_broccatelli,9,Classification,Grande Closed (Text),0.8020112153564112,0.0164779463397255,,,0.7764559686016592,0.0201278013709029,0.2363577689289914,0.0190508053337998
pgp_broccatelli,9,Classification,CLAMP,0.8044430065782379,0.0164572846648224,,,0.7737519471087706,0.0216200383793302,0.2336537474361028,0.0177765569906736
pgp_broccatelli,9,Classification,coati2,0.7373719400409792,0.0180081340524764,,,0.7108102355067941,0.023131796880669,0.1707120358341263,0.0173796138218167
hia_hou,0,Classification,Barlow Closed (Text),0.8576118677042801,0.0350799201429904,,,0.9664711844911916,0.0104325939440231,0.0771978280898076,0.0154763419335669
hia_hou,0,Classification,Grande Closed (Text),0.8830860894941635,0.027216549430113,,,0.9729728381396048,0.0084562912035236,0.0836994817382206,0.0153207808026387
hia_hou,0,Classification,CLAMP,0.8849708171206225,0.031309286361869,,,0.9730690921837098,0.008955030145343,0.0837957357823258,0.0159158201619321
hia_hou,0,Classification,coati2,0.8829644941634242,0.0327658569212873,,,0.9723298556931972,0.0092323576056658,0.083056499291813,0.0152085052666592
hia_hou,1,Classification,Barlow Closed (Text),0.8049903100775193,0.0410256179434643,,,0.9542493381966182,0.0126453858372831,0.064594165782825,0.0133312461695783
hia_hou,1,Classification,Grande Closed (Text),0.7639292635658914,0.0446432877365291,,,0.9449205126424152,0.0140907033122544,0.0552653402286221,0.0137853531468862
hia_hou,1,Classification,CLAMP,0.7697432170542635,0.0438799520748066,,,0.9461734882264776,0.0132322545145291,0.0565183158126845,0.0133413490838904
hia_hou,1,Classification,coati2,0.7678052325581395,0.0431405450810969,,,0.9457557513031276,0.0135266948917189,0.0561005788893343,0.0126683029610454
hia_hou,2,Classification,Barlow Closed (Text),0.8803267045454545,0.0268298327487404,,,0.9714907173276552,0.0087794052474518,0.0856775685387277,0.0155876688773588
hia_hou,2,Classification,Grande Closed (Text),0.832919034090909,0.0352224983048521,,,0.9597974522669792,0.0115427070394673,0.0739843034780518,0.0141037698687999
hia_hou,2,Classification,CLAMP,0.8602627840909091,0.0346904393006729,,,0.9660047947417983,0.0105124216552015,0.0801916459528711,0.0149764882924471
hia_hou,2,Classification,coati2,0.8773674242424243,0.0338473393751112,,,0.9701757843867256,0.0097585271635102,0.0843626355977982,0.0157507461270998
hia_hou,3,Classification,Barlow Closed (Text),0.8475616752725186,0.0379584955889514,,,0.9595476235632554,0.0116583219587073,0.0827870601829736,0.0167146510767618
hia_hou,3,Classification,Grande Closed (Text),0.8518072289156627,0.0370530404232287,,,0.9608572707537288,0.0113968429300156,0.0840967073734471,0.0151990549645145
hia_hou,3,Classification,CLAMP,0.8535857716580609,0.0374686769092149,,,0.9610189926910024,0.0114400271214581,0.0842584293107207,0.0161668996296317
hia_hou,3,Classification,coati2,0.8515777395295469,0.0372526429538789,,,0.9605284989724154,0.0114035971192779,0.0837679355921336,0.0163943181905668
hia_hou,4,Classification,Barlow Closed (Text),0.8642255653325764,0.0332989560434165,,,0.9630283933540116,0.0108026092485256,0.0888348449669147,0.0155736428638816
hia_hou,4,Classification,Grande Closed (Text),0.8182893367395212,0.0357832281080504,,,0.9511012483396724,0.0129191589670131,0.0769076999525756,0.0144406860126944
hia_hou,4,Classification,CLAMP,0.8952124136625982,0.0258102804676576,,,0.9720171717846212,0.0083817194351855,0.0978236233975243,0.0161907582122231
hia_hou,4,Classification,coati2,0.893556627873971,0.0306028293619557,,,0.970941062024636,0.0089578643548384,0.0967475136375392,0.0162376400124534
hia_hou,5,Classification,Barlow Closed (Text),0.7776162790697674,0.0427282995314104,,,0.9480047351739412,0.0138461932222788,0.0583495627601481,0.013365193892136
hia_hou,5,Classification,Grande Closed (Text),0.824733527131783,0.0380010899021385,,,0.9591488258689542,0.0115027136525659,0.0694936534551611,0.0137443118845443
hia_hou,5,Classification,CLAMP,0.7776162790697674,0.0425179470581913,,,0.9480047351739412,0.0140704773517494,0.0583495627601481,0.0134130328005407
hia_hou,5,Classification,coati2,0.8420542635658914,0.038577444587521,,,0.9627176978429623,0.0110756555028815,0.0730625254291692,0.0151544581594147
hia_hou,6,Classification,Barlow Closed (Text),0.6743076923076923,0.0398838398827664,,,0.9078362081347524,0.0174486219251292,0.0427843050205654,0.0124772705325982
hia_hou,6,Classification,Grande Closed (Text),0.7472307692307693,0.0427164905375089,,,0.9271050852934444,0.016359624917225,0.0620531821792575,0.0140932103578131
hia_hou,6,Classification,CLAMP,0.7688717948717949,0.0379287440117397,,,0.9330301297919772,0.0158353167718859,0.0679782266777904,0.014684388399807
hia_hou,6,Classification,coati2,0.8045128205128205,0.0372048364311147,,,0.942744160899654,0.0146384872138528,0.077692257785467,0.0153481776071302
hia_hou,7,Classification,Barlow Closed (Text),0.86976062068313,0.0324062718451143,,,0.964410802465796,0.0106110070926377,0.0902172540786993,0.015935736467976
hia_hou,7,Classification,Grande Closed (Text),0.778077396158577,0.0397816413121264,,,0.940422668693567,0.0134627015078126,0.0662291203064703,0.0138192849460376
hia_hou,7,Classification,CLAMP,0.8824865171728641,0.0315821989108303,,,0.9681676551110862,0.009791677224552,0.0939741067239894,0.0164845751883777
hia_hou,7,Classification,coati2,0.8404295581417353,0.0358166932682078,,,0.9566054546175962,0.0111434692426869,0.0824119062304994,0.0152628008292402
hia_hou,8,Classification,Barlow Closed (Text),0.8518391030684501,0.0331516861340432,,,0.9538865830962364,0.012303762194897,0.0957550952069631,0.0166917215880744
hia_hou,8,Classification,Grande Closed (Text),0.7889457120377655,0.0380375677458192,,,0.9353731738433764,0.0145995643872442,0.077241685954103,0.0154918139725856
hia_hou,8,Classification,CLAMP,0.8865066876475216,0.0283278214632953,,,0.9649857899662564,0.0104587637943446,0.1068543020769831,0.0174327635647438
hia_hou,8,Classification,coati2,0.8660503540519277,0.0344131789683978,,,0.95817818588536,0.0119094551552171,0.1000466979960864,0.0167888203434243
hia_hou,9,Classification,Barlow Closed (Text),0.8051378446115289,0.0404982579334244,,,0.9448236920500788,0.0139665264610289,0.0758581748086996,0.0150159725008258
hia_hou,9,Classification,Grande Closed (Text),0.7510442773600667,0.0417216069708247,,,0.930661561138024,0.0148276763133745,0.0616960438966448,0.0141583436863965
hia_hou,9,Classification,CLAMP,0.8610066833751044,0.0342940190254262,,,0.9604594772964292,0.0114699766701591,0.0914939600550499,0.0161717137100419
hia_hou,9,Classification,coati2,0.8952589807852965,0.0299013153751715,,,0.97001385118908,0.0103027874949816,0.1010483339477006,0.0173719319232391
cyp3a4_veith,0,Classification,Barlow Closed (Text),0.7662761429860147,0.0053877356662688,,,0.6277224872372172,0.0082233752338061,0.213991535246393,0.006261747115916
cyp3a4_veith,0,Classification,Grande Closed (Text),0.7442187404877995,0.0052543262810775,,,0.6012906417534991,0.0083817478875137,0.1875596897626749,0.0059489143967693
cyp3a4_veith,0,Classification,CLAMP,0.8044170923520524,0.0049727230626865,,,0.677882531929188,0.0080866709049316,0.2641515799383638,0.0064522783421613
cyp3a4_veith,0,Classification,coati2,0.7912675370387795,0.0056461746390631,,,0.6618517838634191,0.008747108633555,0.2481208318725949,0.006356792905138
cyp3a4_veith,0,Classification,Autoreg Only,0.6691426705554848,0.0059533026679826,,,0.5287036292629951,0.007898885914898,0.1149726772721709,0.0053053770607278
cyp3a4_veith,1,Classification,Barlow Closed (Text),0.7644348836398807,0.0057265298541913,,,0.6238315063558413,0.0082892232478808,0.213869192739587,0.0062572061698142
cyp3a4_veith,1,Classification,Grande Closed (Text),0.7527234530065479,0.0054228990322234,,,0.60968377518205,0.0086699193580741,0.1997214615657956,0.0059330092494889
cyp3a4_veith,1,Classification,CLAMP,0.8156459558817817,0.0049699270673848,,,0.6934671208809431,0.0084489907319116,0.2835048072646888,0.0068454983897466
cyp3a4_veith,1,Classification,coati2,0.793150927744336,0.0054479514123054,,,0.6620299265297414,0.0089457773462744,0.252067612913487,0.0065880218711669
cyp3a4_veith,1,Classification,Autoreg Only,0.676579092183071,0.005930027596901,,,0.5331763256692981,0.008064505336643,0.1232140120530437,0.005748880056978
cyp3a4_veith,2,Classification,Barlow Closed (Text),0.7658145543977621,0.0051862515498255,,,0.6264487947045172,0.0084300454235314,0.2187804348814793,0.0064968139729598
cyp3a4_veith,2,Classification,Grande Closed (Text),0.7590940525587828,0.005528076052662,,,0.6194836580030967,0.0090064985465539,0.2118152981800588,0.0064055812341929
cyp3a4_veith,2,Classification,CLAMP,0.8087928557768854,0.0051135762277737,,,0.6804339147464684,0.0086988314754204,0.2727655549234306,0.0067507329900836
cyp3a4_veith,2,Classification,coati2,0.7846356842025679,0.0053291557841051,,,0.6533131512524228,0.0090967456779398,0.245644791429385,0.006824437189824
cyp3a4_veith,2,Classification,Autoreg Only,0.671020288810912,0.0061588800844573,,,0.528044955789666,0.0080040838975771,0.1203765959666282,0.0052817257706588
cyp3a4_veith,3,Classification,Barlow Closed (Text),0.7634177690214843,0.0053557548010413,,,0.6280732477891413,0.0092003432822251,0.210245949739002,0.0063821065559604
cyp3a4_veith,3,Classification,Grande Closed (Text),0.7564527629233512,0.0056043618443501,,,0.6182517189431309,0.0085727223420583,0.2004244208929916,0.0061157753664336
cyp3a4_veith,3,Classification,CLAMP,0.8078900459705414,0.0047182766098021,,,0.6811674099893009,0.0082789085190608,0.2633401119391616,0.0060470638697132
cyp3a4_veith,3,Classification,coati2,0.789038371329393,0.0055719686714918,,,0.6593556647074816,0.0086448613222243,0.2415283666573423,0.0065347402958872
cyp3a4_veith,3,Classification,Autoreg Only,0.6730453138193075,0.0058703894385972,,,0.536693037529117,0.0084690453948076,0.1188657394789777,0.0053751724870557
cyp3a4_veith,4,Classification,Barlow Closed (Text),0.7652461977800912,0.0055632400814315,,,0.6160946522214859,0.0086598828353828,0.2219211450590844,0.0063209980550948
cyp3a4_veith,4,Classification,Grande Closed (Text),0.7570449388568238,0.005517509734673,,,0.606010391849347,0.0086405903428964,0.2118368846869456,0.0066008792377684
